TurbID,Day,Tmstamp,Wspd,Wdir,Etmp,Itmp,Ndir,Pab1,Pab2,Pab3,Prtv,Patv
47,126,00:50,2.96,-4.52,29.2,41.2,346.88,0.02,0.02,0.02,-17.09,108.25
120,39,22:00,4.5,1.6,30.02,32.97,-7.42,0.01,0.01,0.01,-62.59,93.72
15,227,23:20,5.47,1.79,-5.4,6.98,506.92,0.04,0.03,0.04,24.35,434.62
67,23,00:50,4.58,-0.08,324.56,23.36,337.47,0.01,0.01,0.01,-63.74,196.99
49,53,09:00,2.55,-1.81,21.93,27.39,339.19,0.01,0.01,0.01,-26.08,63.11
7,2,09:20,5.43,4.06,23.23,29.51,57.42,0.01,0.01,0.01,-8.2,310.6
120,139,01:40,2.2,4.31,24.06,27.46,238.06,0.02,0.02,0.02,-4.54,45.82
44,99,23:10,6.2,-0.49,33.69,41.26,85.21,0.01,0.01,0.01,4.36,674.11
84,41,16:00,6.84,-3.37,31.92,35.56,-34.84,0.01,0.01,0.01,-16.11,507.66
31,83,08:30,4.28,2.63,28.24,31.9,61.72,0.01,0.01,0.01,-17.45,152.88
53,144,03:00,5.93,-4.53,23.14,30.75,96.05,-1.51,-1.51,-1.51,-88.64,455.49
46,191,22:40,1.89,7.44,13.17,23.5,215.96,0.01,0.01,0.01,-8.35,33.38
37,30,20:10,2.0,24.6,33.85,35.57,-108.86,89.74,89.76,89.76,-0.3,0.0
58,134,23:20,2.67,-1.82,24.83,28.63,291.45,0.01,0.01,0.01,-3.6,73.69
43,35,18:00,3.5,11.07,39.48,42.78,182.06,63.25,63.26,63.25,17.2,50.84
114,231,15:50,4.05,-1.12,3.88,9.82,166.6,-0.48,-0.48,-0.48,-11.8,208.07
60,104,22:30,2.78,-0.15,33.7,37.96,57.55,0.01,0.01,0.01,-4.61,69.61
6,166,18:30,8.07,1.02,18.02,29.45,312.02,0.06,0.06,0.06,43.33,995.13
80,131,07:00,4.24,1.31,27.11,34.69,398.54,0.01,0.01,0.01,17.8,233.97
3,227,19:30,5.0,3.08,-5.03,12.38,249.22,0.01,0.01,0.01,-7.86,348.08
40,244,04:50,11.43,-2.41,10.52,10.38,323.54,8.41,8.41,8.41,140.34,1154.14
121,26,01:00,4.67,-8.41,393.33,19.45,163.04,0.09,0.09,0.09,7.63,219.99
52,5,17:40,4.34,-16.83,30.06,42.27,138.38,16.23,16.23,16.22,-26.33,115.82
30,149,12:40,15.36,-3.89,23.57,26.99,373.15,36.81,36.74,36.81,21.32,639.09
63,118,07:10,3.02,0.88,32.25,39.1,21.29,0.01,0.01,0.01,8.89,95.31
30,39,02:50,4.08,-1.56,21.2,31.43,387.35,0.01,0.01,0.01,-145.36,208.91
129,14,11:40,7.42,-2.97,26.97,27.76,209.21,0.03,0.05,0.03,-59.95,764.96
123,51,13:50,3.94,4.03,35.95,36.82,138.09,17.71,17.71,17.71,-12.05,80.05
51,132,12:30,6.06,-0.79,30.41,41.08,361.24,0.01,0.01,0.01,-89.31,485.08
21,226,08:00,5.51,-2.76,0.4,18.5,32.82,0.01,0.01,0.01,88.03,470.19
1,152,05:40,9.14,-3.79,18.3,31.57,22.95,1.0,1.0,1.0,-0.23,1183.62
103,235,23:50,7.27,-3.54,-2.91,14.33,196.39,3.86,3.86,3.86,18.81,795.46
121,28,12:10,8.24,-0.57,393.33,31.63,165.76,1.62,1.62,1.62,94.3,756.64
16,118,04:40,7.01,1.75,33.14,35.61,302.98,11.9,11.9,11.9,2.72,183.64
125,141,13:30,10.94,0.02,29.58,39.69,350.09,12.29,12.29,12.29,-112.38,639.11
128,149,07:40,8.77,-2.88,16.16,20.3,7.11,0.19,0.19,0.19,133.29,1277.78
82,79,07:00,4.94,-1.96,23.84,29.6,337.67,0.01,0.01,0.01,-47.33,354.12
7,131,21:30,10.32,-3.69,27.69,32.11,476.92,0.01,0.02,0.01,21.19,1093.47
125,220,08:10,2.0,0.73,-1.85,11.5,332.66,0.01,0.01,0.01,3.38,65.69
49,71,01:40,8.27,4.95,30.57,36.67,281.61,0.04,0.04,0.04,5.44,932.51
48,26,03:00,4.81,-2.73,17.13,27.94,163.89,0.06,0.06,0.05,-66.6,220.93
9,226,15:30,8.12,-1.67,25.62,14.16,295.89,0.01,0.01,0.01,126.11,1131.67
17,2,13:00,4.48,0.28,30.42,32.54,-156.27,0.01,0.01,0.01,-59.41,260.15
34,50,14:30,6.87,10.74,39.27,51.0,62.55,26.41,26.41,26.41,-38.09,280.12
10,211,02:30,6.94,1.93,1.06,10.86,282.7,0.01,0.01,0.01,-221.58,734.63
4,71,06:20,5.86,-3.63,29.87,32.59,388.91,0.02,0.02,0.02,-271.23,498.75
92,228,09:40,2.55,7.26,-2.33,8.58,253.2,1.01,1.01,1.01,-8.93,48.89
29,33,20:40,5.6,-6.25,35.9,45.33,163.34,0.01,0.01,0.01,-43.41,356.55
102,2,18:30,5.48,6.13,28.68,32.94,152.72,0.01,0.01,0.01,-143.39,327.68
93,137,15:40,7.14,-2.29,26.17,28.75,345.02,0.01,0.01,0.01,-41.31,570.06
25,90,00:10,6.12,1.7,394.04,37.33,155.05,0.04,0.04,0.04,-89.25,496.58
99,42,16:10,5.56,-1.86,41.79,33.14,111.84,0.01,0.01,0.01,0.13,46.4
45,237,06:10,2.71,-6.51,-2.9,12.14,123.52,0.49,0.49,0.49,-10.53,54.24
71,16,02:30,1.47,5.72,28.49,37.55,392.44,85.98,85.96,85.98,-0.3,0.0
46,61,15:20,4.93,-0.85,31.29,38.6,139.21,0.01,0.01,0.01,-73.93,321.38
13,146,21:30,4.96,-0.9,27.29,36.94,399.96,0.01,0.01,0.01,-62.3,284.2
45,205,04:40,7.28,-4.12,-5.75,8.1,278.71,7.04,7.04,7.04,-139.96,403.72
12,202,19:30,7.16,-5.06,9.77,18.03,17.76,8.18,8.18,8.18,90.13,510.74
9,199,22:40,3.92,2.94,46.82,18.99,450.68,0.01,0.01,0.01,-78.38,207.89
134,153,18:40,4.86,-1.62,22.98,23.02,181.95,0.01,0.01,0.01,-54.14,347.6
6,185,00:10,2.64,-4.01,10.78,23.43,297.83,0.01,0.01,0.01,-26.3,72.99
102,57,21:00,23.95,-1.75,24.74,32.83,-117.81,23.8,23.8,23.8,191.47,1519.09
96,15,21:40,6.62,-0.66,30.41,33.33,318.04,0.02,0.02,0.02,-319.39,580.85
35,28,16:40,16.31,-3.73,33.95,37.64,78.38,17.72,17.72,17.72,91.93,838.09
126,138,19:30,3.3,-2.23,28.99,27.89,395.65,-1.95,-1.95,-1.95,-29.0,145.68
44,37,15:10,3.76,1.83,35.27,43.1,264.61,0.01,0.01,0.01,-30.55,227.95
21,43,20:00,6.53,3.54,26.54,37.16,148.02,0.01,0.01,0.01,-236.05,563.64
52,115,15:40,6.57,2.24,34.62,36.64,359.4,2.35,2.35,2.35,-45.68,475.02
114,123,14:30,4.53,5.33,31.7,34.71,216.67,-0.31,-0.31,-0.31,-11.91,254.99
87,152,01:10,9.88,-0.96,20.79,25.91,-9.16,0.13,0.13,0.13,98.91,1381.06
5,176,18:20,5.73,0.82,18.93,23.7,380.57,0.03,0.03,0.03,-198.3,410.0
97,5,21:50,7.34,5.03,22.59,27.01,-50.2,0.01,0.01,0.01,-75.59,733.11
48,6,01:40,8.2,-7.84,20.91,30.79,-173.91,0.03,0.02,0.03,-462.53,690.97
89,180,03:20,4.83,-3.52,13.04,21.94,304.2,83.81,83.84,83.82,-4.84,9.92
49,77,06:50,3.05,6.19,28.6,34.89,-17.03,0.44,0.44,0.44,-5.52,87.81
114,141,09:50,9.7,2.82,24.18,27.75,364.81,0.18,0.18,0.18,154.18,1232.41
103,79,13:30,6.17,1.91,32.6,36.98,16.14,0.01,0.01,0.01,-42.71,523.21
76,31,17:40,7.87,3.68,31.2,32.26,344.06,0.26,0.26,0.26,50.73,768.7
26,1,08:10,12.47,3.3,27.83,30.82,-132.35,13.17,13.16,13.17,-0.25,780.44
41,26,17:40,3.08,-6.87,20.61,26.2,149.76,0.01,0.01,0.01,5.46,89.4
5,148,16:30,4.91,2.01,30.38,33.51,165.45,1.95,1.95,1.95,-50.11,350.85
55,242,10:50,2.6,-1.14,-3.1,11.35,-32.4,0.01,0.01,0.01,17.77,93.76
56,245,02:40,1.37,-124.28,-7.6,7.6,464.27,90.24,90.17,90.01,-0.3,0.0
38,172,10:10,3.87,2.5,394.04,14.9,215.73,0.42,0.43,0.43,-33.62,165.91
27,134,11:40,5.96,-0.18,29.24,34.77,336.66,0.01,0.01,0.01,-53.9,391.22
95,147,17:10,2.91,-2.08,31.83,31.3,439.73,0.05,0.05,0.05,-16.23,90.52
120,141,17:30,11.67,0.18,35.6,38.68,253.72,3.36,3.36,3.36,184.02,1443.25
1,181,06:40,8.49,-5.35,11.35,28.79,20.37,1.0,1.0,1.0,-0.26,1082.14
84,50,10:20,5.89,-0.93,34.94,38.46,175.48,0.01,0.01,0.02,-44.36,337.8
50,8,16:10,8.0,-2.96,22.21,29.64,489.78,1.39,1.39,1.39,-51.54,914.05
57,204,15:40,3.8,-0.35,0.37,20.32,-78.15,0.01,0.01,0.01,-50.41,185.56
50,23,15:40,3.6,-6.37,28.5,35.84,135.17,0.02,0.02,0.02,6.73,153.22
134,211,00:00,8.74,-4.28,4.39,7.81,353.91,0.07,0.07,0.07,78.09,1208.51
31,240,16:50,2.85,3.72,3.38,12.17,71.55,53.94,53.91,53.94,3.11,19.16
93,228,05:30,3.25,-1.42,-6.52,2.76,519.41,0.05,0.04,0.04,0.66,138.3
48,128,21:00,4.27,-5.15,31.74,36.43,149.1,0.02,0.02,0.02,-11.96,165.68
100,211,18:50,2.88,-3.65,2.85,6.57,361.95,0.02,0.02,0.02,-32.91,75.04
58,64,20:50,11.99,1.85,35.07,37.44,28.55,5.55,5.55,5.55,79.41,1481.26
46,11,00:40,10.51,5.42,16.98,27.98,-15.03,1.43,1.43,1.43,129.96,1410.35
117,217,22:40,6.49,1.41,-3.2,0.54,357.47,0.01,0.01,0.01,-67.14,578.15
107,24,05:30,2.82,-0.54,17.35,24.03,343.6,0.01,0.01,0.01,-38.4,108.2
4,159,06:40,4.42,-4.9,29.3,19.5,23.73,0.01,0.01,0.01,-64.41,250.81
4,175,17:40,8.36,-0.15,29.93,28.04,405.65,0.01,0.01,0.01,-55.52,1153.67
36,227,18:40,1.91,2.09,-3.53,8.69,393.52,0.03,0.03,0.03,-14.22,77.89
122,194,15:30,2.59,0.63,14.12,18.55,407.1,0.02,0.02,0.02,-14.18,47.55
10,35,08:10,4.53,-0.59,28.66,31.88,288.98,0.01,0.01,0.01,-71.36,233.79
51,15,01:30,2.44,-11.31,24.46,39.03,515.39,13.36,13.36,13.35,-9.41,34.66
112,175,05:00,7.92,-4.57,14.1,18.71,294.98,-0.96,-0.96,-0.96,97.28,1079.99
78,31,04:40,7.07,-5.16,19.31,29.19,-54.57,0.01,0.03,0.03,6.26,524.88
117,122,20:50,4.86,-2.37,30.74,30.53,160.66,0.01,0.01,0.01,-18.31,199.4
76,179,11:20,9.05,0.9,11.12,14.13,171.69,7.97,7.97,7.97,-147.29,571.97
90,137,05:50,5.07,3.45,18.2,23.64,273.2,0.04,0.04,0.04,-54.12,338.0
123,232,18:10,2.08,0.78,2.0,10.91,176.09,0.02,0.02,0.02,7.55,81.15
67,129,13:00,4.23,-1.36,324.56,29.25,402.86,1.15,1.15,1.15,9.64,167.66
50,117,02:50,4.12,3.42,31.07,35.59,307.58,14.43,14.42,14.43,-28.15,146.36
2,82,02:20,9.31,-0.76,25.41,37.18,222.18,-0.97,-0.97,-0.98,145.58,1207.78
64,201,05:00,2.93,-3.52,6.92,12.5,184.35,0.02,0.04,0.02,-41.36,118.38
30,149,17:40,13.89,1.26,27.86,30.72,357.91,10.82,10.82,10.82,110.9,969.54
103,232,18:20,2.07,-2.14,2.79,16.67,199.51,0.02,0.02,0.02,-1.03,49.84
24,126,19:10,2.58,-1.53,392.54,36.64,31.18,-1.99,-1.99,-1.99,0.56,62.65
101,239,13:10,6.99,-1.9,32.33,6.8,49.86,0.01,0.01,0.01,135.03,849.31
6,63,21:00,2.0,2.81,35.29,45.4,-69.99,0.01,0.01,0.01,0.41,33.14
91,121,13:10,2.12,1.22,19.58,24.43,109.43,0.53,0.53,0.53,1.98,54.03
56,184,16:10,9.15,71.04,13.3,13.21,-60.64,90.38,90.39,90.39,0.0,0.0
71,203,13:50,8.78,-1.02,11.69,22.25,204.26,5.82,5.82,5.82,-92.83,1059.52
99,60,10:50,9.13,0.62,34.12,34.55,264.37,0.02,0.03,0.03,77.68,797.2
86,71,02:50,6.58,1.79,29.58,30.83,384.54,0.03,0.03,0.03,-55.72,471.22
33,198,08:40,6.94,4.11,11.46,20.74,83.86,3.24,3.24,3.24,-79.61,582.69
130,222,21:00,6.89,0.16,0.8,9.3,314.42,0.01,0.02,0.01,-183.69,776.15
107,150,00:30,14.17,0.07,18.5,26.66,-58.8,16.12,16.12,16.12,-40.98,655.6
14,28,13:50,13.51,-6.27,32.35,35.82,203.46,7.86,7.86,7.86,78.64,1510.51
91,56,08:30,7.69,-0.02,30.53,35.99,141.53,0.01,0.01,0.01,120.24,988.03
97,197,10:20,4.29,-0.28,15.22,13.17,126.33,0.01,0.01,0.01,-46.4,144.39
48,122,16:10,2.87,3.66,32.58,37.39,-193.62,0.03,0.03,0.03,0.09,88.49
114,207,04:30,14.43,0.43,-4.4,2.8,6.47,11.14,11.14,11.14,86.11,1019.4
5,47,15:50,4.69,4.4,34.79,36.75,-179.41,0.02,0.01,0.02,-17.43,273.85
98,206,05:40,7.78,1.42,-4.91,3.75,13.93,0.86,0.86,0.86,132.88,1138.11
110,30,09:50,3.38,-1.1,26.88,30.25,-3.08,0.01,0.01,0.01,-19.94,140.83
24,123,06:40,1.9,5.9,392.54,25.24,15.93,-1.97,-1.98,-1.98,-7.08,36.1
16,236,05:00,3.69,-1.39,-4.94,9.84,160.02,0.01,0.01,0.01,-64.56,197.22
95,151,01:20,6.42,0.18,20.8,22.26,-64.5,0.03,0.03,0.03,-56.12,579.86
66,172,15:30,12.07,0.64,18.3,26.37,146.45,9.5,9.5,9.5,27.01,1149.62
91,81,19:10,6.27,0.26,40.02,44.55,247.71,0.51,0.51,0.51,-23.91,541.51
62,203,05:00,10.26,2.94,8.09,17.13,43.65,3.75,3.75,3.75,154.1,1258.73
60,203,17:00,9.72,-1.65,13.54,26.0,218.22,2.67,2.67,2.67,80.73,1235.68
66,55,04:50,3.63,-0.74,25.29,36.05,-38.57,0.02,0.02,0.04,-35.55,153.81
7,83,09:00,6.83,0.98,30.17,33.33,226.38,0.01,0.01,0.01,-46.75,405.51
76,137,03:10,6.66,0.89,21.99,25.08,512.17,0.03,0.03,0.03,-38.34,617.65
123,88,14:50,2.38,1.79,39.87,40.22,385.48,10.3,10.3,10.3,3.45,25.6
49,18,20:30,12.51,-3.69,28.83,33.13,301.09,16.81,16.81,16.81,-70.18,427.51
120,7,16:10,4.48,5.1,19.68,25.6,18.16,0.01,0.01,0.01,-19.24,84.55
100,178,03:10,3.67,-0.79,16.01,18.06,137.37,0.01,0.01,0.03,-14.44,142.97
64,157,22:00,4.86,-2.14,16.14,20.86,357.06,0.01,0.01,0.01,-73.79,376.89
6,213,10:10,2.01,7.06,-1.85,19.8,280.87,0.01,0.01,0.01,-38.58,56.21
60,154,07:40,5.92,-0.79,13.01,21.94,181.91,0.82,0.82,0.82,-78.27,492.05
116,106,03:20,4.08,-1.98,31.09,32.24,331.79,0.03,0.03,0.03,15.6,135.02
96,113,12:50,3.73,-2.54,29.21,30.42,162.93,0.01,0.01,0.01,-14.71,160.6
97,205,12:50,5.03,4.72,6.93,1.62,134.18,0.01,0.01,0.01,-25.32,240.45
46,91,17:10,10.07,-0.62,36.41,45.03,151.09,9.13,9.13,9.13,71.97,804.63
43,123,15:50,2.66,-7.3,31.62,36.14,179.45,0.02,0.02,0.02,-12.96,100.24
16,72,01:40,5.68,1.89,33.43,39.6,314.09,0.02,0.02,0.02,-54.22,379.04
134,111,22:30,12.46,-5.71,36.07,36.61,13.73,7.08,7.08,7.08,128.73,1518.78
111,215,23:50,2.84,-1.02,-3.73,13.45,393.58,0.01,0.01,0.01,-30.22,85.36
54,91,07:20,4.59,1.15,30.39,35.99,490.9,0.02,0.03,0.02,-50.83,264.12
134,92,05:20,7.55,-0.15,25.46,26.83,194.33,0.02,0.02,0.02,-158.38,885.66
62,19,09:50,9.07,4.13,28.34,33.99,55.12,90.36,90.37,90.36,-0.3,0.0
58,98,07:50,8.6,0.61,31.58,34.19,312.07,5.92,5.92,5.92,-15.18,813.06
104,245,12:40,3.59,4.84,-1.09,20.11,175.91,1.33,1.33,1.33,-25.19,209.56
10,218,13:00,4.15,-5.71,-2.41,5.14,286.7,0.01,0.01,0.01,-69.77,239.93
45,42,15:00,5.62,-7.56,33.55,51.11,96.45,0.02,0.03,0.02,-9.67,300.05
15,12,19:20,8.19,0.54,28.0,30.94,14.43,0.01,0.01,0.01,-112.64,910.98
83,170,00:50,4.25,0.37,11.91,19.6,204.97,0.01,0.01,0.01,-57.13,245.9
129,160,09:50,1.33,-42.85,18.56,21.47,2.41,85.98,85.98,85.98,-0.3,0.0
13,41,17:10,7.11,0.21,32.28,42.32,156.88,0.01,0.01,0.01,15.19,712.53
86,156,11:00,8.82,-4.03,14.56,16.64,50.67,51.3,51.3,51.3,-20.01,129.51
28,101,22:20,8.11,-1.13,38.18,40.94,-9.19,0.46,0.46,0.46,40.23,1046.25
1,15,00:10,4.76,-2.19,25.77,36.32,261.61,0.99,0.99,0.99,-0.28,272.39
38,102,20:30,14.38,2.61,394.04,39.87,312.19,14.47,14.47,14.47,9.01,734.06
94,57,10:10,7.66,2.38,32.94,36.97,-323.14,0.04,0.04,0.04,-136.03,795.46
92,26,13:20,6.82,3.02,23.21,28.58,410.47,0.01,0.01,0.01,-14.96,474.44
3,222,18:00,2.45,-13.0,-111.24,-101.86,425.63,0.0,53.33,53.34,0.0,0.0
114,152,07:00,8.17,-5.57,17.63,20.75,-5.23,7.17,7.17,7.17,-104.54,458.75
131,116,13:50,9.38,0.41,31.09,37.84,235.19,16.75,16.75,16.75,-11.46,224.32
95,210,12:50,8.2,1.3,2.69,6.42,286.27,0.03,0.02,0.03,5.58,1035.66
127,102,02:40,7.71,-2.2,33.44,35.22,-80.16,0.07,0.07,0.07,70.12,1031.77
127,131,10:40,3.46,-9.15,26.6,29.87,323.7,49.11,49.12,49.11,10.61,49.14
54,234,23:10,1.96,-4.74,-0.5,12.7,397.94,0.03,0.03,0.03,-7.43,48.55
44,179,20:30,2.84,-3.34,12.52,19.81,185.27,0.01,0.01,0.01,-44.85,140.51
34,75,03:00,4.64,1.24,29.9,43.86,-31.18,0.01,0.01,0.01,-54.48,247.02
80,143,04:30,4.36,-3.73,21.81,34.72,406.04,0.03,0.03,0.02,-51.79,270.24
59,128,11:10,5.32,1.78,28.19,34.73,182.94,0.01,0.01,0.01,-50.19,351.29
4,29,09:40,7.09,-14.28,20.87,20.13,218.46,90.39,90.39,90.39,0.0,0.0
26,176,11:40,6.25,2.17,16.23,20.23,299.24,2.27,2.27,2.27,-139.32,528.16
92,74,03:10,4.55,-5.2,29.39,33.99,212.79,1.01,1.01,1.01,-16.83,216.69
19,191,16:50,4.47,2.29,16.6,22.96,117.54,0.45,0.45,0.45,-24.37,213.15
129,24,06:00,2.17,-3.35,19.49,21.75,408.96,0.01,0.01,0.01,-13.27,37.03
19,119,06:50,9.95,-2.23,18.86,27.21,294.62,0.3,0.29,0.3,-42.81,1352.98
46,78,21:20,6.34,-2.86,24.41,33.09,-36.4,0.01,0.01,0.01,-29.63,596.59
66,238,21:00,1.93,1.31,-3.46,12.39,160.49,0.01,0.01,0.01,-9.57,43.28
88,176,20:50,3.96,-1.87,17.27,23.87,357.78,0.04,0.04,0.04,-55.55,186.39
58,224,12:30,1.16,-37.06,2.35,11.62,203.71,89.77,89.45,89.67,-0.3,0.0
99,172,18:00,13.65,-7.4,25.97,23.34,75.11,12.76,12.76,12.76,131.17,1459.54
109,243,05:10,4.68,4.9,-7.9,15.3,319.2,0.02,0.02,0.02,4.83,260.71
25,150,21:50,9.15,0.61,394.04,29.2,-7.12,0.01,0.01,0.01,-166.74,1268.13
107,71,03:00,6.33,-0.52,25.65,33.16,306.16,0.02,0.02,0.02,-88.83,452.57
7,68,04:40,2.18,-0.32,34.39,38.09,327.85,0.01,0.01,0.01,-20.23,30.87
134,51,01:10,9.91,-1.41,36.38,36.29,323.54,0.21,0.2,0.21,57.46,1297.81
